CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,BalanceSalaryRatio,TenureByAge,CreditScoreGivenAge,Geography_Germany,Geography_Spain,Gender_Male,Surname_CBE
753,57,7,0.0,1,1,0,159475.08,0.0,0.12280701754385964,13.210526315789474,0.0,0.0,1.0,0.20375
739,32,3,102128.27,1,1,0,63981.37,1.596218868086132,0.09375,23.09375,1.0,0.0,1.0,0.20375
755,37,0,113865.23,2,1,1,117396.25,0.9699222079069817,0.0,20.405405405405407,1.0,0.0,0.0,0.20375
561,37,5,0.0,2,1,0,83093.25,0.0,0.13513513513513514,15.162162162162161,0.0,0.0,1.0,0.20375
692,49,6,110540.43,2,0,1,107472.99,1.0285414967984048,0.12244897959183673,14.122448979591837,1.0,0.0,1.0,0.20375
659,38,9,0.0,2,1,1,132809.18,0.0,0.23684210526315788,17.342105263157894,0.0,0.0,0.0,0.20375
782,34,9,0.0,1,1,0,183021.06,0.0,0.2647058823529412,23.0,0.0,0.0,1.0,0.20375
546,24,8,156325.38,1,1,1,125381.02,1.2468025862287608,0.3333333333333333,22.75,0.0,0.0,1.0,0.20375
756,41,2,124439.49,2,0,1,47093.11,2.642413932738781,0.04878048780487805,18.4390243902439,1.0,0.0,1.0,0.20375
685,34,6,83264.28,1,0,0,9663.28,8.616564975867407,0.17647058823529413,20.147058823529413,0.0,1.0,1.0,0.20375
531,53,5,127642.44,1,1,0,141501.45,0.902057470082462,0.09433962264150944,10.018867924528301,0.0,0.0,0.0,0.20375
560,31,3,115141.18,1,1,0,39806.75,2.8925039095128335,0.0967741935483871,18.06451612903226,0.0,0.0,0.0,0.20375
733,31,9,102289.85,1,1,1,115441.66,0.8860739701767976,0.2903225806451613,23.64516129032258,0.0,1.0,0.0,0.20375
674,27,4,111568.01,1,0,1,22026.18,5.0652455396260265,0.14814814814814814,24.962962962962962,1.0,0.0,0.0,0.20375
644,37,9,0.0,2,1,1,96442.86,0.0,0.24324324324324326,17.405405405405407,0.0,1.0,1.0,0.20375
695,32,9,0.0,3,0,1,38533.79,0.0,0.28125,21.71875,0.0,1.0,1.0,0.20375
750,42,8,151836.36,2,1,0,68695.38,2.210284883786944,0.19047619047619047,17.857142857142858,1.0,0.0,1.0,0.20375
754,35,6,98585.94,2,0,1,106116.84,0.929031999068197,0.17142857142857143,21.542857142857144,1.0,0.0,1.0,0.20375
744,34,3,0.0,2,1,0,27244.35,0.0,0.08823529411764706,21.88235294117647,0.0,1.0,1.0,0.20375
588,22,9,67178.19,1,1,1,163534.75,0.41078847156338333,0.4090909090909091,26.727272727272727,0.0,1.0,0.0,0.20375
696,44,8,161889.79,1,0,0,75562.47,2.1424629184302737,0.18181818181818182,15.818181818181818,0.0,0.0,1.0,0.20375
774,52,2,56580.93,1,1,0,113266.28,0.49953905081017935,0.038461538461538464,14.884615384615385,0.0,0.0,0.0,0.20375
704,31,0,0.0,2,1,0,183038.33,0.0,0.0,22.70967741935484,0.0,0.0,1.0,0.20375
723,48,7,0.0,2,1,1,150694.58,0.0,0.14583333333333334,15.0625,0.0,0.0,1.0,0.20375
536,46,1,65733.41,1,1,0,61094.53,1.0759295472115098,0.021739130434782608,11.652173913043478,0.0,0.0,1.0,0.20375
691,35,6,0.0,2,0,1,178038.17,0.0,0.17142857142857143,19.742857142857144,0.0,1.0,1.0,0.20375
611,40,7,128486.91,2,1,0,10109.47,12.709559452671606,0.175,15.275,1.0,0.0,0.0,0.20375
691,30,7,101231.77,2,0,0,156529.44,0.6467267116013448,0.23333333333333334,23.033333333333335,1.0,0.0,1.0,0.20375
659,34,9,134464.58,2,1,0,178833.34,0.7518988349711524,0.2647058823529412,19.38235294117647,1.0,0.0,1.0,0.20375
711,29,9,0.0,2,0,1,3234.8,0.0,0.3103448275862069,24.517241379310345,0.0,0.0,0.0,0.20375
559,24,3,114739.92,1,1,0,85891.02,1.3358779532481975,0.125,23.291666666666668,0.0,1.0,1.0,0.20375
716,44,3,109528.28,1,1,0,27341.63,4.005916252981259,0.06818181818181818,16.272727272727273,0.0,0.0,0.0,0.20375
583,48,3,91246.53,1,1,0,60017.46,1.5203330830728259,0.0625,12.145833333333334,0.0,0.0,1.0,0.20375
593,41,6,0.0,1,1,0,65170.66,0.0,0.14634146341463414,14.463414634146341,0.0,0.0,0.0,0.20375
824,60,8,134250.17,3,0,0,153046.16,0.8771874446245499,0.13333333333333333,13.733333333333333,1.0,0.0,1.0,0.20375
567,48,3,0.0,1,1,0,55362.45,0.0,0.0625,11.8125,0.0,0.0,0.0,0.20375
552,33,5,140931.57,1,0,1,10921.5,12.90404889438264,0.15151515151515152,16.727272727272727,0.0,0.0,1.0,0.20375
564,27,6,0.0,1,0,0,7819.76,0.0,0.2222222222222222,20.88888888888889,0.0,0.0,0.0,0.20375
756,42,9,0.0,2,1,0,35673.42,0.0,0.21428571428571427,18.0,0.0,0.0,0.0,0.20375
733,32,5,0.0,2,1,0,131625.14,0.0,0.15625,22.90625,0.0,1.0,0.0,0.20375
